Customer id,Acquisition Date,Acquisition Channel,Acquisition Device,,,,,,,,,,,,,,,,,,
240547,6/29/15,Search - Organic,,,,,,,,,,,,,,,,,,,
791623,6/28/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
600463,6/21/15,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
422484,6/21/15,,,,,,,,,,,,,,,,,,,,
315341,6/20/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
402073,6/19/15,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
293750,6/17/15,Other,Desktop,,,,,,,,,,,,,,,,,,
239147,6/17/15,Comparison Shopping,,,,,,,,,,,,,,,,,,,
114633,6/11/15,Other,,,,,,,,,,,,,,,,,,,
977733,6/6/15,Search - Paid,,,,,,,,,,,,,,,,,,,
7411,5/28/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
57057,5/27/15,Other,Desktop,,,,,,,,,,,,,,,,,,
228391,5/26/15,Social - Paid,Desktop,,,,,,,,,,,,,,,,,,
960413,5/21/15,Display - Acquisition,Phone,,,,,,,,,,,,,,,,,,
148109,5/21/15,Search - Organic,,,,,,,,,,,,,,,,,,,
1018956,5/20/15,,,,,,,,,,,,,,,,,,,,
514594,5/16/15,,,,,,,,,,,,,,,,,,,,
1024824,5/15/15,Search - Paid,,,,,,,,,,,,,,,,,,,
115997,5/14/15,Search - Paid,,,,,,,,,,,,,,,,,,,
624128,5/10/15,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
1151501,5/7/15,,,,,,,,,,,,,,,,,,,,
363297,5/4/15,Search - Organic,,,,,,,,,,,,,,,,,,,
792984,4/30/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
219822,4/28/15,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
1026354,4/25/15,Comparison Shopping,,,,,,,,,,,,,,,,,,,
325352,4/25/15,,Desktop,,,,,,,,,,,,,,,,,,
862868,4/24/15,Search - Organic,,,,,,,,,,,,,,,,,,,
605912,4/12/15,,Phone,,,,,,,,,,,,,,,,,,
20875,4/12/15,,,,,,,,,,,,,,,,,,,,
124133,4/5/15,Search - Organic,,,,,,,,,,,,,,,,,,,
181987,4/4/15,,Desktop,,,,,,,,,,,,,,,,,,
27850,3/28/15,Search - Paid,,,,,,,,,,,,,,,,,,,
547415,3/27/15,Search - Paid,,,,,,,,,,,,,,,,,,,
1164072,3/24/15,Search - Paid,,,,,,,,,,,,,,,,,,,
44190,3/18/15,Other,,,,,,,,,,,,,,,,,,,
193909,3/15/15,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
1187696,3/14/15,Search - Organic,,,,,,,,,,,,,,,,,,,
596854,3/14/15,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
1013404,3/10/15,,,,,,,,,,,,,,,,,,,,
897513,3/10/15,Display - Acquisition,,,,,,,,,,,,,,,,,,,
891682,3/9/15,,Phone,,,,,,,,,,,,,,,,,,
57354,3/6/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
396279,3/1/15,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
149165,2/28/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
192191,2/20/15,,Desktop,,,,,,,,,,,,,,,,,,
25187,2/4/15,,,,,,,,,,,,,,,,,,,,
454499,2/1/15,Search - Paid,,,,,,,,,,,,,,,,,,,
148110,2/1/15,,,,,,,,,,,,,,,,,,,,
977763,1/26/15,Social - Paid,Desktop,,,,,,,,,,,,,,,,,,
252926,1/19/15,Search - Organic,,,,,,,,,,,,,,,,,,,
771336,1/6/15,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
284617,1/5/15,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
672263,1/2/15,Comparison Shopping,Phone,,,,,,,,,,,,,,,,,,
224584,12/30/14,,,,,,,,,,,,,,,,,,,,
925144,12/29/14,Search - Paid,,,,,,,,,,,,,,,,,,,
973866,12/12/14,Other,,,,,,,,,,,,,,,,,,,
737560,12/9/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
616045,12/6/14,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
260411,11/28/14,Search - Organic,,,,,,,,,,,,,,,,,,,
578148,11/25/14,Display - Acquisition,Phone,,,,,,,,,,,,,,,,,,
829353,11/16/14,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
303882,11/1/14,,Desktop,,,,,,,,,,,,,,,,,,
573956,10/31/14,,,,,,,,,,,,,,,,,,,,
559010,10/31/14,Comparison Shopping,,,,,,,,,,,,,,,,,,,
268454,10/31/14,,Desktop,,,,,,,,,,,,,,,,,,
705123,10/26/14,Comparison Shopping,,,,,,,,,,,,,,,,,,,
237392,10/25/14,Search - Paid,,,,,,,,,,,,,,,,,,,
